athlete_id,name
3247,Joel Anthony
3249,Jamario Moon
3251,Coby Karl
3252,Mustafa Shakur
3255,Dontell Jefferson
3256,Trey Johnson
3263,Thomas Gardner
3273,Courtney Sims
3276,Anthony Tolliver
3277,C.J. Watson
3278,Mario West
3290,Darryl Watkins
3401,Lance Allred
3402,Blake Ahearn
3410,Alexis Ajinca
3411,Joe Alexander
3412,Ryan Anderson
3413,Darrell Arthur
3414,Omer Asik
3415,D.J. Augustin
3416,Nicolas Batum
3417,Jerryd Bayless
3418,Michael Beasley
3419,Mario Chalmers
3420,Joe Crawford
3421,Joey Dorsey
3422,Chris Douglas-Roberts
3423,Goran Dragic
3425,Semih Erden
3426,Patrick Ewing Jr.
3428,Danilo Gallinari
3429,J.R. Giddens
3431,Eric Gordon
3432,Donte Greene
3433,Malik Hairston
3436,Roy Hibbert
3437,JJ Hickson
3438,George Hill
3439,Serge Ibaka
3440,Darnell Jackson
3441,Nathan Jawai
3442,DeAndre Jordan
3443,Sasha Kaun
3444,Kosta Koufos
3445,Courtney Lee
3447,Robin Lopez
3448,Brook Lopez
3449,Kevin Love
3450,O.J. Mayo
3451,Luc Mbah a Moute
3452,JaVale McGee
3453,Nikola Pekovic
3455,Anthony Randolph
3456,Derrick Rose
3457,Brandon Rush
3458,Walter Sharpe
3459,Sean Singletary
3460,Marreese Speights
3461,Mike Taylor
3462,Jason Thompson
3464,Henry Walker
3466,Kyle Weaver
3467,Sonny Weems
3468,Russell Westbrook
3469,D.J. White
3472,Bobby Brown
3474,Anthony Morrow
3475,Othello Hunter
3477,Steven Hill
3478,Hamed Haddadi
3554,Omri Casspi
3593,Bojan Bogdanovic
3837,Rob Kurz
3838,DeMarcus Nelson
3882,Alexey Shved
3930,Cartier Martin
3962,Chris Hunter
3963,Rodrigue Beaubois
3964,Patrick Beverley
3965,DeJuan Blair
3966,Jon Brockman
3967,Derrick Brown
3968,Chase Budinger
3969,Nick Calathes
3970,DeMarre Carroll
3971,Earl Clark
3972,Victor Claver
3973,Darren Collison
3974,Dante Cunningham
3975,Stephen Curry
3976,Austin Daye
3977,Nando De Colo
3978,DeMar DeRozan
3979,Toney Douglas
3981,Wayne Ellington
3983,Tyreke Evans
3984,Christian Eyenga
3985,Jonny Flynn
3986,Taj Gibson
3988,Danny Green
3989,Blake Griffin
3990,Taylor Griffin
3991,Tyler Hansbrough
3992,James Harden
3993,Gerald Henderson
3994,Jordan Hill
3995,Jrue Holiday
3996,Lester Hudson
3997,Brandon Jennings
3998,Jonas Jerebko
3999,James Johnson
4000,Ty Lawson
4001,Eric Maynor
4003,Jodie Meeks
4004,Patty Mills
4005,Byron Mullens
4008,Jeff Ayres
4010,A.J. Price
4011,Ricky Rubio
4012,DaJuan Summers
4014,Jermaine Taylor
4015,Jeff Teague
4016,Hasheem Thabeet
4017,Marcus Thornton
4019,Terrence Williams
4020,Sam Young
4021,Trey Gilder
4023,Garrett Temple
4024,Marcus Landry
4025,Dionte Christmas
4027,Antonio Anderson
4032,Wesley Matthews
4035,Garret Siler
4158,Jerel McNeal
4165,Jan Vesely
4179,Larry Owens
4182,Pablo Prigioni
4192,Milos Teodosic
4195,Kostas Papanikolaou
4205,David Andersen
4218,Gal Mekel
4224,Sundiata Gaines
4226,Cedric Jackson
4229,Reggie Williams
4231,Othyus Jeffers
4232,Alonzo Gee
4235,Greg Stiemsma
4236,Oliver Lafayette
4237,John Wall
4238,Eric Bledsoe
4239,Evan Turner
4240,Avery Bradley
4241,Xavier Henry
4242,James Anderson
4243,Jordan Crawford
4244,Lance Stephenson
4246,Dominique Jones
4247,Wesley Johnson
4248,Al-Farouq Aminu
4249,Gordon Hayward
4250,Luke Babbitt
4251,Paul George
4252,Damion James
4253,Quincy Pondexter
4254,Craig Brackins
4256,Devin Ebanks
4257,Derrick Favors
4258,DeMarcus Cousins
4259,Ed Davis
4260,Greg Monroe
4261,Ekpe Udoh
4262,Hassan Whiteside
4263,Daniel Orton
4264,Patrick Patterson
4265,Larry Sanders
4266,Jarvis Varnado
4267,Cole Aldrich
4268,Solomon Alabi
4269,Nemanja Bjelica
4270,Trevor Booker
4272,Derrick Caracter
4274,Landry Fields
4276,Luke Harangody
4277,Lazar Hayward
4278,Darington Hobson
4279,Armon Johnson
4280,Jerome Adolphus Jordan
4281,Gani Lawal
4282,Hamady Ndiaye
4283,Dexter Pittman
4284,Tibor Pleiss
4285,Andy Rautins
4286,Ryan Reid
4289,Kevin Seraphin
4290,Pape Sy
4291,Greivis Vasquez
4292,Willie Warren
4294,Elliot Williams
4295,Jeremy Evans
4296,Ben Uzoh
4298,Timofey Mozgov
4299,Jeremy Lin
4300,Gary Neal
4302,Sherron Collins
4303,Donald Sloan
4304,Samardo Samuels
4305,Ish Smith
4311,Shane Edwards
4312,Gary Forbes
4320,Jerome Dyson
4321,Elijah Millsap
4325,Marcus Cousin
4327,Zabian Dowdell
4329,Mickell Gladness
4335,Jeff Adrien
4341,Nicolo Melli
4360,Manny Harris
4376,Boban Marjanovic
4385,Mirza Teletovic
4400,Chris Johnson
6156,Jeffery Taylor
6424,Lavoy Allen
6425,Keith Benson
6426,Davis Bertans
6427,Bismack Biyombo
6428,MarShon Brooks
6429,Alec Burks
6430,Jimmy Butler III
6431,Norris Cole
6433,Kenneth Faried
6434,Jimmer Fredette
6435,Andrew Goudelock
6436,Jordan Hamilton
6438,Justin Harper
6439,Josh Harrellson
6440,Tobias Harris
6441,Tyler Honeycutt
6442,Kyrie Irving
6443,Reggie Jackson
6444,Charles Jenkins
6445,JaJuan Johnson
6446,Cory Joseph
6447,Enes Freedom
6448,Brandon Knight
6449,Malcolm Lee
6450,Kawhi Leonard
6451,Travis Leslie
6452,Jon Leuer
6453,DeAndre Liggins
6454,Shelvin Mack
6455,Vernon Macklin
6459,Nikola Mirotic
6460,E'Twaun Moore
6461,Markieff Morris
6462,Marcus Morris Sr.
6463,Darius Morris
6464,Donatas Motiejunas
6466,Chandler Parsons
6467,Josh Selby
6468,Iman Shumpert
6469,Kyle Singler
6470,Chris Singleton
6471,Nolan Smith
6472,Isaiah Thomas
6473,Trey Thompkins
6474,Tristan Thompson
6475,Klay Thompson
6476,Jeremy Tyler
6477,Jonas Valanciunas
6478,Nikola Vucevic
6479,Kemba Walker
6480,Derrick Williams
6481,Jordan Williams
6483,Justin Dentmon
6484,Carldell Johnson
6485,Lance Thomas
6490,Terrel Harris
6497,Jeremy Pargo
6499,Xavier Silas
6501,Chris Wright
6502,Luke Zeller
6503,Dwight Buycks
6507,Brad Wanamaker
6511,Malcolm Thomas
6518,Edwin Ubiles
6523,Mychel Thompson
6526,Walker Russell Jr.
6527,Dennis Horner
6528,Jerry Smith
6530,Greg Smith
6534,Ivan Johnson
6541,Courtney Fortson
6543,Julyan Stone
6544,Cory Higgins
6546,Gustavo Alfonso Ayon
6555,Eric Dawson
6558,Jeff Foote
6569,Alan Anderson
6574,D.J. Kennedy
6576,Quincy Acy
6577,Furkan Aldemir
6578,Harrison Barnes
6579,Will Barton
6580,Bradley Beal
6581,Jae Crowder
6582,Jared Cunningham
6583,Anthony Davis
6585,Andre Drummond
6586,Kim English
6587,Festus Ezeli
6588,Evan Fournier
6589,Draymond Green
6590,Justin Hamilton
6591,Maurice Harkless
6592,John Henson
6593,Bernard James
6594,John Jenkins
6595,Orlando Johnson
6596,Darius Johnson-Odom
6597,Terrence Jones
6598,Perry Jones
6599,Kris Joseph
6601,Michael Kidd-Gilchrist
6602,Ognjen Kuzmic
6603,Jeremy Lamb
6604,Doron Lamb
6605,Meyers Leonard
6606,Damian Lillard
6607,Kendall Marshall
6608,Fab Melo
6609,Khris Middleton
6610,Darius Miller
6611,Quincy Miller
6612,Arnett Moultrie
6613,Kevin Murphy
6614,Andrew Nicholson
6615,Kyle O'Quinn
6616,Miles Plumlee
6617,Austin Rivers
6618,Thomas Robinson
6619,Terrence Ross
6620,Robert Sacre
6621,Tomas Satoransky
6622,Mike Scott
6623,Tornike Shengelia
6624,Jared Sullinger
6625,Tyshawn Taylor
6626,Marquis Teague
6628,Dion Waiters
6629,Royce White
6630,Tony Wroten
6631,Tyler Zeller
6633,Robbie John Hummel
6634,Hollis Thompson
6635,Chris Copeland
6636,Slava Kravtsov
6637,Kent Bazemore
6638,Maalik Wayns
6639,Chris  Smith
6641,Brian Roberts
6644,Scott Machado
6647,Henry Sims
6656,Josh Emmanuel Akognon
6657,Ben Hansbrough
6663,Diante Garrett
6666,Chris Wright
2141179,Andre Ingram
2198243,Aaron Jackson
2202117,Arinze Onuaku
2232456,Patrick Christopher
2232862,Alex Stepheson
2234666,Jonathan Gibson
2282117,John Holland
2282205,Malcolm Delaney
2282622,Jacob Pullen
2282734,Kalin Lucas
2284046,Omari Johnson
2284101,Justin Holiday
2308999,Tim Ohlbrecht
2309097,Damjan Rudez
2325490,DeQuan Jones
2325495,Larry Drew II
2325499,C.J. Williams
2325975,Chris Johnson
2326015,Willie Reed
2326257,Kevin Jones
2326307,Seth Curry
2326389,Chris Babb
2326411,James Nunnally
2326434,Casper Ware
2327107,Toure' Murry
2327449,Jorge Gutierrez
2327465,Drew Gordon
2327577,JaMychal Green
2327832,Trey McKinney-Jones
2328418,Scotty Hopson
2333797,Jeff Withey
2451037,Daniel Theis
2488650,Andre Dawkins
2488651,Ryan Kelly
2488653,Mason Plumlee
2488660,Glen Rice Jr.
2488673,David Wear
2488674,Travis Wear
2488684,Erick Green
2488689,Sean Kilpatrick
2488701,Jerrelle Benimon
2488706,Peyton Siva
2488713,Jack Cooley
2488721,Lamar Patterson
2488749,James Southerland
2488826,Rodney McGruder
2488845,Cory Jefferson
2488911,Brandon Paul
2488938,Reggie Hearn
2488945,Tim Frazier
2488958,Solomon Hill
2488977,Jamil Wilson
2488999,CJ Wilcox
2489010,Tony Mitchell
2489021,Erik Jay Murphy
2489530,Troy Daniels
2489563,DJ Stephens
2489660,Elias Harris
2489663,Kelly Olynyk
2489664,David Stockton
2489693,Ryan Broekhoff
2489716,Matthew Dellavedova
2489785,Ian Clark
2489897,Will Cherry
2490089,Mike Muscala
2490144,Brandon Davies
2490149,CJ McCollum
2490589,Isaiah Canaan
2490620,Robert Covington
2491063,Shayne Whittington
2491079,Nate Wolters
2527963,Victor Oladipo
2527968,Devyn Marble
2528096,Mike James
2528210,Tim Hardaway Jr.
2528244,Duje Dukan
2528327,Kyle Collinsworth
2528353,Tony Snell
2528354,Cameron Bairstow
2528355,Alex Kirk
2528356,Jamaal Franklin
2528374,J.J. O'Brien
2528386,Joe Young
2528393,Tarik Black
2528426,Jordan Clarkson
2528447,Ray McCallum
2528473,Okaro White
2528586,Walt Lemon Jr.
2528588,Doug McDermott
2528693,Torrey Craig
2528779,Reggie Bullock Jr.
