season,team,sp_overall,sp_off,sp_def
2016,Louisiana,-8.7,19.8,29.4
2016,East Carolina,-9.0,27.2,35.1
2016,South Alabama,-9.4,25.2,33.3
2016,Army,-9.9,22.2,29.2
2016,Hawai'i,-10.1,28.6,40.8
2016,SMU,-10.8,24.3,32.6
2016,Purdue,-11.0,25.1,35.6
2016,UTSA,-11.2,22.7,33.6
2016,UConn,-11.6,19.8,30.9
2016,Kent State,-12.0,16.6,27.4
2016,Georgia State,-12.1,17.3,26.7
2016,Marshall,-12.7,24.6,35.8
2016,Nevada,-13.0,26.2,37.9
2016,San José State,-13.6,22.4,36.7
2016,Florida Atlantic,-14.1,28.7,43.5
2016,UNLV,-14.3,26.7,40.4
2016,Tulane,-14.6,15.7,28.4
2016,North Texas,-14.6,22.0,37.5
2016,Rutgers,-14.9,17.3,29.9
2016,Massachusetts,-15.3,23.7,36.7
2016,Kansas,-15.9,21.0,36.0
2016,UTEP,-16.1,25.0,40.6
2016,Rice,-16.5,22.8,38.6
2016,Fresno State,-16.9,16.4,33.9
2016,New Mexico State,-17.2,23.2,39.5
2016,Buffalo,-18.8,16.8,33.5
2016,Florida International,-19.0,25.0,42.2
2016,Charlotte,-20.9,17.6,36.9
2016,UL Monroe,-21.3,20.4,41.5
2016,Texas State,-25.5,18.4,42.5
2016,nationalAverages,1.946875,30.0125,28.0578125
2017,Alabama,33.5,38.7,5.6
2017,Ohio State,30.9,42.9,12.8
2017,Wisconsin,26.8,37.4,11.6
2017,Georgia,26.7,39.6,15.4
2017,Clemson,26.4,36.5,8.3
2017,Penn State,26.0,41.5,14.9
2017,Oklahoma,25.5,49.8,24.2
2017,Auburn,24.7,35.4,11.0
2017,Florida State,22.8,33.3,12.5
2017,Washington,22.1,39.4,16.3
2017,LSU,21.1,35.6,14.0
2017,Notre Dame,20.8,37.4,16.9
2017,Michigan,19.6,31.1,11.8
2017,Louisville,19.2,43.3,24.9
2017,Oklahoma State,19.1,42.2,23.0
2017,TCU,18.9,35.7,18.7
2017,USC,17.9,38.5,20.0
2017,Miami,17.4,35.3,17.0
2017,Mississippi State,16.0,32.4,18.1
2017,Stanford,15.8,37.7,24.5
2017,Virginia Tech,14.3,27.8,14.4
2017,UCF,14.1,40.5,26.9
2017,Michigan State,13.8,27.7,15.1
2017,NC State,12.9,38.0,23.3
2017,Utah,12.0,30.6,20.5
2017,Ole Miss,11.6,38.9,28.8
2017,Northwestern,11.2,28.8,17.4
2017,Missouri,11.1,35.5,26.4
2017,Kansas State,10.9,34.4,26.1
2017,Texas,10.6,26.7,16.3
2017,Wake Forest,10.5,35.7,25.1
2017,South Florida,10.2,31.6,21.2
2017,Indiana,10.2,28.6,20.2
2017,Florida,10.1,30.8,22.4
2017,Iowa,9.8,28.4,19.4
